q1,q2,q3,xe,ye,thetae
3.0,-0.8,-1,-158.1,244.62,68.75
2.78,-2.15,1,-24.24,252.35,93.39
2.38,-2.84,1,133.9,98.83,30.94
0.54,-0.75,1,330.15,132.08,45.26
2.44,-1.94,1,23.99,275.91,85.94
1.0,-1.37,1,296.49,138.97,36.1
1.62,-1.19,0,229.94,238.23,24.64
0.51,-0.23,0,363.33,135.32,16.04
2.56,-0.81,-1,-36.68,287.95,42.97
1.19,-1.08,1,235.34,251.4,63.6
1.63,-3.03,-1,-81.46,-86.15,-137.51
0.14,-2.8,1,1.93,-171.56,-95.11
2.78,-2.59,1,54.38,191.23,68.18
2.54,-0.74,1,-259.2,243.72,160.43
1.18,-1.25,-2,116.97,-3.03,-118.6
0.25,-0.91,1,351.22,-4.19,19.48
0.38,-1.54,1,300.98,-91.68,-9.17
0.55,-1.1,0,332.48,-67.95,-31.51
1.51,-2.48,-1,30.86,-97.25,-112.87
0.03,-2.41,-2,-6.56,37.07,-250.96
0.36,-1.93,1,231.22,-154.36,-32.66
1.16,-2.51,0,108.86,-134.5,-77.35
3.12,-2.54,0,87.51,145.29,33.23
1.4,-1.22,2,75.61,258.0,124.9
1.59,-2.85,1,162.89,-27.22,-14.9
1.75,-2.17,-1,115.06,-53.62,-81.36
1.57,-2.04,-1,129.09,-58.22,-84.22
0.64,-2.75,1,95.33,-150.36,-63.6
2.22,-2.26,1,125.86,204.85,55.0
2.69,-2.85,1,98.14,132.82,48.13
0.0,-2.85,0,-119.02,-74.74,-163.29
1.87,-0.18,0,-69.24,382.38,96.83
1.15,-2.95,-1,-98.92,-51.49,-160.43
0.94,-2.13,0,173.3,-136.39,-68.18
0.74,-0.77,0,355.88,79.86,-1.72
0.65,-2.31,-1,-23.3,-111.02,-152.41
0.01,-0.95,0,283.34,-208.67,-53.86
2.02,-2.52,-1,66.83,-74.9,-85.94
1.9,-2.19,0,207.12,48.67,-16.62
1.25,-0.45,-1,258.97,190.8,-11.46
0.89,-1.62,-1,158.09,-114.03,-99.12
0.78,-2.33,1,205.95,-106.49,-31.51
2.42,-2.7,0,152.28,14.02,-16.04
2.65,-2.78,1,98.12,143.87,49.85
1.77,-1.47,1,133.24,291.11,74.48
0.1,-0.2,0,388.05,-12.98,-5.73
0.71,-1.82,0,214.2,-148.14,-63.6
2.23,-0.78,0,-48.29,360.87,83.08
1.45,-1.9,0,249.78,15.96,-25.78
1.34,-2.33,-1,48.15,-100.87,-114.02
0.67,-0.77,-1,290.21,-48.11,-63.03
0.89,-2.51,-1,-37.28,-93.6,-150.11
2.2,-1.63,0,142.39,245.41,32.66
1.79,-0.92,2,-69.68,261.13,164.44
2.58,-2.75,0,146.22,25.24,-9.74
0.77,-2.55,0,39.33,-163.83,-101.99
2.35,-2.53,-1,86.07,-50.98,-67.61
2.34,-1.14,1,-119.82,319.67,126.05
3.0,-0.55,1,-352.7,61.79,197.67
1.53,-1.34,0,260.62,179.0,10.89
3.05,-0.14,1,-349.46,-48.62,224.03
0.71,-0.12,0,314.63,229.39,33.8
0.67,-1.41,1,323.53,26.49,14.9
1.74,-2.21,-1,107.09,-60.07,-84.22
2.52,-0.42,0,-236.94,300.14,120.32
2.37,-2.09,-1,129.49,40.85,-41.25
0.18,-1.36,-1,103.03,-203.54,-124.9
2.21,-2.63,1,149.89,122.57,33.23
2.2,-1.32,-2,62.96,88.29,-64.17
2.22,-2.2,1,119.42,216.93,58.44
2.29,-0.03,-1,-128.56,321.9,72.19
0.02,-2.92,0,-122.48,-59.6,-166.16
2.41,-3.07,2,35.7,133.7,76.78
1.83,-1.02,0,145.95,313.97,46.41
0.33,-2.18,1,172.96,-180.51,-48.7
0.4,-1.94,1,235.24,-146.15,-30.94
2.93,-0.92,-1,-113.24,255.05,57.87
0.52,-2.99,0,-90.72,-97.19,-141.52
0.26,-2.94,0,-107.16,-82.38,-153.55
0.37,-2.77,1,47.44,-168.91,-80.21
0.4,-1.82,1,257.97,-130.91,-24.06
3.04,-0.6,-1,-211.67,225.98,82.51
1.17,-2.25,0,173.27,-109.61,-61.88
3.0,-1.58,1,-206.77,232.75,138.66
0.09,-1.8,-1,-6.64,-171.44,-155.27
0.65,-0.95,0,351.88,1.84,-17.19
2.35,-1.08,1,-136.51,316.15,130.06
2.07,-2.64,0,156.66,-26.17,-32.66
3.02,-0.96,-1,-126.58,243.93,60.73
1.27,-2.24,-1,61.48,-102.85,-112.87
2.89,-1.91,0,18.92,248.29,56.15
0.86,-0.5,1,233.68,271.44,77.92
2.85,-2.72,-1,88.22,-45.14,-49.85
0.49,-0.81,1,339.19,102.03,38.96
2.36,-0.43,1,-265.07,240.58,167.88
1.67,-1.63,0,246.92,139.76,2.29
0.22,-2.9,-1,-101.14,37.13,-210.85
0.24,-1.07,0,301.74,-160.96,-47.56
0.17,-0.05,0,386.26,53.12,6.88
0.48,-1.41,1,322.71,-35.09,4.01
1.08,-0.82,1,226.66,271.85,72.19
1.28,-3.06,0,-16.72,-129.79,-101.99
0.75,-1.31,1,322.88,74.93,25.21
2.72,-0.36,-1,-183.69,271.89,77.92
3.13,-0.59,1,-356.99,24.65,202.83
1.84,-0.86,0,110.25,341.25,56.15
2.65,-3.1,-1,18.12,-124.23,-83.08
2.21,-0.85,2,-177.26,203.29,192.51
2.31,-3.12,-1,-28.75,-124.39,-103.71
1.85,-0.8,-1,158.7,244.23,2.86
0.4,-2.59,2,171.95,-79.79,-10.89
2.3,-1.32,0,58.21,312.87,56.15
1.9,-2.51,-2,-47.53,-17.35,-149.54
0.62,-1.44,-1,162.43,-145.5,-104.28
1.53,-1.28,-1,226.38,73.44,-42.97
1.8,-1.33,0,202.27,244.35,26.93
1.05,-1.2,1,279.02,191.0,48.7
3.05,-0.06,0,-386.47,51.15,171.31
0.15,-0.37,1,347.83,82.48,44.69
0.85,-1.07,0,339.53,40.93,-12.61
0.53,-2.05,-1,13.08,-139.82,-144.39
2.9,-2.62,-1,96.45,-18.69,-41.25
0.13,-1.26,-1,115.4,-210.92,-122.04
0.59,-1.68,0,228.27,-158.2,-62.45
0.91,-0.26,0,286.77,259.98,37.24
0.09,-1.78,2,237.82,-77.74,17.76
2.85,-2.66,-1,92.78,-32.23,-46.41
3.1,-3.12,-1,68.12,-107.97,-58.44
2.92,-1.81,2,-198.95,149.12,178.19
1.18,-1.65,1,277.59,127.04,30.37
1.19,-1.41,0,302.05,63.95,-12.61
0.01,-0.84,-1,184.41,-220.29,-104.85
1.38,-2.62,1,193.15,-26.21,-13.75
2.58,-2.01,-1,117.58,85.19,-24.64
2.88,-2.25,1,-28.23,239.98,93.39
1.62,-2.88,0,73.12,-117.7,-72.19
1.23,-1.83,1,270.48,99.74,22.92
1.9,-1.92,1,160.36,228.38,56.15
2.98,-2.04,1,-98.55,247.14,111.15
0.36,-2.01,-1,-3.22,-145.16,-151.83
1.05,-0.94,0,323.11,141.31,6.3
0.53,-2.53,-1,-70.63,-70.83,-171.89
1.91,-2.33,1,184.19,140.83,33.23
1.54,-2.17,0,214.09,-23.24,-36.1
3.05,-2.83,-1,89.83,-51.17,-44.69
1.94,-1.57,0,195.49,215.26,21.2
0.64,-2.24,-1,-10.92,-119.32,-148.97
0.15,-1.38,-1,92.37,-205.86,-127.77
2.52,-3.12,0,108.9,-71.1,-34.38
0.07,-1.74,2,239.79,-78.14,18.91
0.19,-1.75,1,239.21,-174.49,-32.09
3.07,-0.39,0,-362.46,125.1,153.55
1.85,-0.61,0,48.62,370.87,71.05
0.32,-2.82,0,-84.9,-114.71,-143.24
2.77,-0.26,1,-347.33,77.14,201.11
2.72,-3.05,0,127.35,-31.05,-18.91
2.52,-1.94,-1,121.76,93.94,-24.06
0.45,-2.57,0,-18.66,-165.22,-121.47
0.33,-0.35,1,325.37,147.49,56.15
1.57,-1.57,-1,200.34,20.61,-57.3
2.38,-0.75,0,-109.47,349.25,93.39
2.65,-0.06,-1,-227.82,259.47,91.1
0.55,-3.01,-1,-113.59,26.74,-198.24
2.45,-1.6,0,71.47,278.24,48.7
1.06,-0.86,1,238.07,260.4,68.75
1.02,-2.69,1,157.06,-99.31,-38.39
2.72,-1.94,1,-53.2,271.79,101.99
2.62,-1.21,0,-71.09,321.42,80.79
0.44,-2.13,-1,-14.81,-130.44,-154.13
1.9,-2.6,0,156.83,-44.48,-40.11
1.64,-0.27,1,-76.24,347.72,135.79
2.7,-2.75,-1,76.99,-63.7,-60.16
0.87,-0.62,1,250.78,254.89,71.62
0.78,-0.26,-1,320.54,95.99,-27.5
2.99,-0.66,1,-345.69,89.58,190.79
1.99,-3.09,1,135.4,-10.09,-5.73
1.42,-0.4,0,155.6,350.07,58.44
2.04,-3.0,0,90.33,-97.04,-55.0
1.37,-0.65,1,104.34,341.66,98.55
3.05,-0.96,1,-323.79,131.46,177.04
2.44,-1.08,1,-164.37,302.6,135.22
2.88,-2.53,0,118.66,122.77,20.05
0.45,-0.15,0,365.45,133.38,17.19
0.55,-0.4,0,367.91,106.8,8.59
1.35,-1.19,0,285.15,168.27,9.17
1.95,-1.91,0,211.67,131.16,2.29
2.04,-0.83,0,33.0,359.21,69.33
1.26,-2.17,-1,76.29,-101.46,-109.43
0.53,-2.06,1,229.63,-129.89,-30.37
1.88,-1.3,-1,187.88,142.07,-24.06
2.41,-1.14,0,-19.7,335.17,72.77
2.34,-0.92,-1,47.81,274.93,24.06
2.52,-0.87,-1,-12.48,283.97,37.24
2.53,-2.06,-1,121.63,67.8,-30.37
1.25,-1.62,0,283.4,29.35,-21.2
1.64,-1.63,0,251.0,132.29,0.57
0.33,-0.31,0,382.93,47.33,1.15
0.88,-1.13,-1,249.78,-55.33,-71.62
2.5,-1.32,1,-129.02,304.61,124.9
2.55,-3.0,1,119.98,83.9,31.51
0.57,-3.04,0,-94.09,-91.63,-141.52
1.85,-2.69,1,179.28,48.87,9.17
0.62,-1.06,-1,240.38,-108.73,-82.51
0.67,-0.38,1,262.49,242.81,73.91
1.56,-0.26,-1,160.37,293.67,17.19
1.22,-2.57,-1,-18.21,-97.25,-134.65
2.8,-1.97,-1,93.37,117.49,-9.74
2.13,-1.1,-1,127.9,225.55,1.72
2.72,-1.88,0,54.92,246.81,48.13
1.74,-0.78,-1,182.56,229.44,-2.29
1.22,-1.3,-1,235.53,-2.96,-61.88
2.02,-0.6,1,-134.52,331.5,138.66
0.76,-2.34,1,201.77,-111.68,-33.23
0.72,-0.08,0,306.28,240.99,36.67
0.34,-3.01,1,-6.13,-145.07,-95.68
1.92,-1.53,0,196.0,221.0,22.35
1.78,-1.74,1,168.71,244.48,59.59
1.23,-0.16,1,43.63,350.69,118.6
1.66,-2.89,1,158.45,-22.68,-13.18
2.8,-1.46,-1,29.81,213.45,19.48
3.11,-0.61,-1,-224.89,211.58,85.94
3.07,-3.14,1,77.73,104.42,53.29
2.13,-1.56,2,-68.85,250.68,147.25
0.14,-0.93,0,311.73,-166.55,-45.26
0.17,-0.34,2,222.93,125.66,104.85
0.71,-1.75,-1,105.61,-143.32,-116.88
1.92,-0.26,1,-171.27,311.85,152.41
0.07,-1.52,0,161.01,-249.01,-83.08
3.09,-0.9,1,-335.13,106.28,182.77
1.68,-0.27,1,-90.09,344.4,138.08
2.15,-1.41,1,2.95,324.6,99.69
2.0,-2.91,0,105.47,-87.06,-52.14
1.55,-0.71,0,176.24,323.58,48.13
0.05,-0.19,-2,188.5,-121.15,-122.61
2.33,-0.98,0,-32.54,347.99,77.35
2.18,-3.02,0,99.15,-86.99,-48.13
1.56,-2.66,1,189.72,1.16,-5.73
2.55,-2.59,0,151.89,62.1,-2.29
2.29,-0.46,1,-242.7,263.31,162.15
2.8,-0.8,1,-305.29,180.1,171.89
1.18,-0.75,1,185.93,303.11,81.93
0.83,-0.56,1,251.54,254.77,72.77
0.33,-0.36,0,382.87,34.33,-1.72
0.58,-2.32,1,182.85,-144.56,-42.4
1.09,-2.64,1,173.65,-82.66,-31.51
1.04,-0.02,0,201.88,333.66,58.44
1.42,-0.75,-1,244.41,167.13,-18.91
1.92,-1.87,1,150.04,241.42,60.16
1.99,-0.58,1,-128.84,333.91,138.08
2.42,-1.03,0,-50.85,341.64,79.64
2.42,-2.05,-1,128.65,56.3,-36.1
0.56,-1.09,-1,227.61,-126.56,-87.66
2.34,-0.62,-1,-12.01,307.68,41.25
1.93,-0.08,1,-206.04,284.04,163.29
2.26,-2.37,1,128.37,187.08,50.99
1.77,-2.93,-1,-46.05,-99.84,-123.76
0.06,-2.97,0,-123.29,-51.88,-166.73
0.76,-2.6,-1,-64.48,-74.37,-162.72
1.55,-3.03,0,26.28,-128.96,-84.8
1.66,-0.11,-1,101.95,327.4,31.51
0.88,-2.2,-1,26.56,-120.93,-132.93
1.95,-2.01,0,211.41,105.17,-3.44
3.01,-0.94,-1,-128.69,245.23,61.31
1.68,-0.38,-1,144.8,292.91,17.19
0.03,-2.58,-1,-97.27,-16.97,-203.4
2.46,-0.42,0,-218.52,313.81,116.88
2.55,-2.29,1,57.48,229.69,72.19
0.26,-0.66,0,365.11,-67.83,-22.92
2.31,-1.96,1,63.01,267.49,77.35
2.42,-0.87,1,-202.8,288.35,146.1
1.62,-1.42,2,44.51,260.77,126.05
0.54,-2.07,1,228.97,-128.77,-30.37
1.17,-1.03,0,308.18,155.98,8.02
0.97,-0.02,1,100.98,333.74,111.73
1.59,-0.14,0,28.83,388.08,83.08
0.79,-2.44,0,70.93,-166.84,-94.54
0.55,-2.15,1,214.33,-135.4,-34.38
0.81,-0.55,-1,311.27,39.92,-42.4
0.83,-1.56,0,281.48,-77.46,-41.83
1.48,-0.28,1,-17.61,355.73,126.05
0.54,-0.43,-2,199.92,-42.32,-108.29
0.32,-2.69,1,56.14,-177.14,-78.5
2.32,-2.65,0,157.43,10.94,-18.91
3.0,-1.52,1,-219.48,227.68,142.09
1.71,-0.68,0,115.81,351.64,59.01
0.95,-0.15,1,136.65,325.6,103.13
3.07,-0.65,1,-352.26,59.45,195.95
0.94,-2.11,1,255.52,-36.71,-9.74
1.19,-0.17,-1,246.33,234.06,1.15
1.68,-1.67,-1,187.15,21.84,-56.72
2.98,-2.59,-1,98.49,-4.13,-34.95
0.57,-1.48,0,269.02,-135.12,-52.14
2.29,-2.71,-1,52.59,-83.73,-81.36
